country,description,designation,points,price,taster_name,title,variety,winery
Austria,"The musky notes of unfettered botrytis are on full display here, bringin candied apricot, bitter orange, burnt sugar and musky fruit into the mix. The luscious core of sweetness is concentrated and the acidic thrill lets the entire palate teeter on a delicious precipice. This sort of wine should require a license to kill in all its deadly, overwhelming force of concentration.",Zwischen den Seen Nr. 7 Trockenbeerenauslese,94,46,Anne KrebiehlÂ MW,Kracher 2012 Zwischen den Seen Nr. 7 Trockenbeerenauslese Welschriesling (Burgenland),Welschriesling,Kracher
Austria,"The term â€œheadyâ€ù surely was coined just for a wine like thisâ€”immensely rich but traveling on very light feet, concentrating the perfumed aromatics of Scheurebe on the palate while exuberantly vaporizing them on the nose. The honeyed blossoms of nettle come to mind as well as summer sprays of honeysuckle. The palate is ultrasweet, evoking tropical largesse of pineapple and passion fruit, always luminous, always bright. This is dessert in itself and shines with immense purity.",Zwischen den Seen Nr. 10 Trockenbeerenauslese,95,51,Anne KrebiehlÂ MW,Kracher 2012 Zwischen den Seen Nr. 10 Trockenbeerenauslese Scheurebe (Burgenland),Scheurebe,Kracher
Austria,"Zesty notions of orange marmalade pervade the nose and palate, while overtones of passion fruit and faint spiciness hint at the aromatic nature of Scheurebe. It's broken up by more honeyed richness, while precise, lemony acidity brings all into a sharp, citric focus, with a clean-cut finish.",Zwischen den Seen  Trockenbeerenauslese Nummer 7,92,105,Anne KrebiehlÂ MW,Kracher 2011 Zwischen den Seen  Trockenbeerenauslese Nummer 7 Scheurebe (Burgenland),Scheurebe,Kracher
Austria,"While the nose is shy, the palate displays a grapefruit-spiced edged along with the ripeness of juicy stone fruit: mirabelles and yellow pears are conjured up. While the fruit is ripe the wine has something weightless, transparent and fresh. This goes down far too easily and needs to be savored. The finish is delicate but full flavored.",Zwirch Reserve,92,50,Anne KrebiehlÂ MW,Markus Huber 2015 Zwirch Reserve GrÃ_ner Veltliner (Traisental),GrÃ_ner Veltliner,Markus Huber
Austria,"A very closed nose on the palate gives way to zesty citrus notes on a very refreshing, clean and slender palate. With some probing, a little textural spice shows and leads to a fuller notion of lemon and grapefruit zest. The finish is fresh and clean and suggests the merest hint of pear.",Zwirch Reserve,91,50,Anne KrebiehlÂ MW,Markus Huber 2014 Zwirch Reserve GrÃ_ner Veltliner (Traisental),GrÃ_ner Veltliner,Markus Huber
Austria,"Soft, earthy, full-bodied wine. It has attractive red berry fruits, light tannins, a juicy wine that has open fruit flavors. Drink now. Screwcap.",Zwickl,86,20,Roger Voss,Nittnaus Hans und Christine 2009 Zwickl Zweigelt (Burgenland),Zweigelt,Nittnaus Hans und Christine
Austria,"With its reputation for sweet wines, and its big range of reds, it's not surprising that Feiler-Artinger should come up with this wine. It is a curiosity, vaguely like a young tawny Port in its flavors, the tannins of the grapes clashing with the sweetness of the botrytis fruit. The acidity, though, helps, along with the apricot and plum compote flavors.",Zweigelt Beerenauslese,85,,Roger Voss,Feiler-Artinger 2005 Zweigelt Beerenauslese Zweigelt (Burgenland),Zweigelt,Feiler-Artinger
Austria,An appetizing touch of red currant and cranberry plays on the nose of this vividly colored rosÃ©. The palate is fruit-forward with subtle shades of berry and citrus. The finish is refreshing and berry-laden.,Zweigelt,90,18,Anne KrebiehlÂ MW,Markus Huber 2016 Zweigelt RosÃ© (Weinland Ã–sterreich),RosÃ©,Markus Huber
Austria,"Pale pink in color, it has a slender body and ample lemon acidity that promise soothing coolness on a hot day. Linear, lemony and very refreshing.",Zweigelt,88,22,Anne KrebiehlÂ MW,JÃ_ger 2013 Zweigelt RosÃ© (Wachau),RosÃ©,JÃ_ger
Austria,"Just-ripe strawberries rule nose and palate, where they are joined by citrus freshness and the tart but rounded richness of rosehip tisane. Fresh and dry, this pretty, pale-pink wine is made for the table.",Zweigelt,90,22,Anne KrebiehlÂ MW,H. & M. Hofer 2013 Zweigelt RosÃ© (NiederÃ¶sterreich),RosÃ©,H. & M. Hofer
Austria,"Light bodied and fruit-driven, this wine leads with refreshing, easy citrus notes and friendly red apple nuances. It finishes dry.",Zweigelt,88,18,Anne KrebiehlÂ MW,Unger 2016 Zweigelt RosÃ© (NiederÃ¶sterreich),RosÃ©,Unger
Austria,"A touch of cranberry plays on the nose of this wine. The palate shows that same tart freshness, assisted by lemony notes and a slight spritz. An easy, uncomplicated and refreshing summer wine.",Zweigelt,88,12,Anne KrebiehlÂ MW,Winzer Krems 2016 Zweigelt RosÃ© (NiederÃ¶sterreich),RosÃ©,Winzer Krems
Austria,"The palest pink suggests the almost-weightless lightness of this refreshing wine. It would be an ideal, zippy and very slender apÃ©ritif. Drink soon.",Zweigelt,87,20,Anne KrebiehlÂ MW,Huber 2014 Zweigelt RosÃ© (Weinland Ã–sterreich),RosÃ©,Huber
Austria,"Fragrant, fresh, young and zippy, this is a simple, fruity summer rosÃ©. The nose expresses only citrus but the mild palate shows some of the cherry-ish roundness of Zweigelt. Its light body and full fruit make it the ideal light refreshment. Drink as soon as possible.",Zweigelt,89,12,Anne KrebiehlÂ MW,Winzer Krems 2014 Zweigelt RosÃ© (NiederÃ¶sterreich),RosÃ©,Winzer Krems
Austria,"The palest pink suggests the almost-weightless lightness of this refreshing wine. It would be an ideal, zippy and very slender apÃ©ritif. Drink soon.",Zweigelt,87,20,Anne KrebiehlÂ MW,Huber 2014 Zweigelt RosÃ© (Weinland Ã–sterreich),RosÃ©,Huber
Austria,"Despite its name, Zwei also has BlaufrÃ_nkisch in its blend. It's lean, rather austere and structured with a hard edge. There is black currant acidity, toasty wood and a green finish. Not for aging. Screwcap.",Zwei,83,17,Roger Voss,Tinhof 2010 Zwei Red (Burgenland),Austrian Red Blend,Tinhof
Austria,"This is light, fruity and spicy, with a crisp edge of acidity as well as a soft texture. Ready to drink. Screwcap.",Zvy-Gelt,86,,Roger Voss,Forstreiter 2009 Zvy-Gelt Zweigelt (NiederÃ¶sterreich),Zweigelt,Forstreiter
Austria,"Light-bodied, straightforward red, with blackberry aromas, this wine could be accentuated with chilling and is a solution for cuisine such as mixed charuterie platters or liver terrines. A friendly, uncomplicated red made for the moment, with gracious, cheerful fruitiness.",ZVY-GELT,85,10,Anne KrebiehlÂ MW,Forstreiter 2011 ZVY-GELT Zweigelt (NiederÃ¶sterreich),Zweigelt,Forstreiter
Austria,"A touch of redcurrant plays on the lemony nose of this rather pale rosÃ©. The zesty palate has an edge of white pepper and is both light and dry. Zippy with a crisp, appetizing finish, it's almost thirst-quenching.",Zum Martin Sepp,89,15,Anne KrebiehlÂ MW,Martinshof 2016 Zum Martin Sepp RosÃ© (NiederÃ¶sterreich),RosÃ©,Martinshof
Austria,"A nose of redcurrant signals tart freshness. The palate has this in spades but seems tinged with bitter earthiness that detracts from the berry charm. This light, fresh wine would benefit from chilling. Drink soon.",Zum Martin Sepp,86,15,Anne KrebiehlÂ MW,Martinshof 2015 Zum Martin Sepp Zweigelt (Weinland Ã–sterreich),Zweigelt,Martinshof
Italy,This luminous wine exhibits mature notes of apricot and nectarine and has long staying power on both the nose and mouth. Pair it with fried zucchini flowers or pumpkin-filled ravioli.,Zuc di Volpe,85,38,,Volpe Pasini 2007 Zuc di Volpe Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Volpe Pasini
Italy,"Opening aromas include green apple, Bartlett pear, white peach, mineral and lemon zest. The juicy palate is balanced with fresh acidity and it closes on a hint of white almond.",Zuc di Volpe,88,40,Kerin Oâ€™Keefe,Volpe Pasini 2012 Zuc di Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini
Italy,"Fragrances are reminiscent of stone fruit, flint and dried hay. The subtle palate offers raw yellow peach, honeydew melon and tropical fruit alongside racy acidity.",Zuc di Volpe,88,40,Kerin Oâ€™Keefe,Volpe Pasini 2012 Zuc di Volpe Sauvignon (Colli Orientali del Friuli),Sauvignon,Volpe Pasini
Italy,"Here's a creamy and sophisticated expression of Pinot Bianco from one of the best-suited territories for this particular grape. The wine offers layered tones of stone fruit, pear and white almond and boasts a very silky feel that rides long on the finish. It's an excellent wine.",Zuc di Volpe,91,40,,Volpe Pasini 2006 Zuc di Volpe Pinot Bianco (Colli Orientali del Friuli),Pinot Bianco,Volpe Pasini
Italy,"Aromas recall white spring flowers and mature pears. The linear palate offers tart Granny Smith, lemon custard and Bartlett pear alongside fresh acidity. It has balance and a clean finish.",Zuc di Volpe,89,40,Kerin Oâ€™Keefe,Volpe Pasini 2012 Zuc di Volpe Pinot Bianco (Colli Orientali del Friuli),Pinot Bianco,Volpe Pasini
Italy,"This is a full and generous Friulano (a native grape of northeast Italy) that shows ripe aromas of peach, melon and pear. It is smooth and rich on the palate and would pair with creamy seafood risotto.",Zuc di Volpe,89,38,,Volpe Pasini 2008 Zuc di Volpe Friulano (Colli Orientali del Friuli),Friulano,Volpe Pasini
Italy,"Here's a rich and enjoyable Pinot Grigio with natural aromas of cantaloupe, almond nut and passion fruit. The wine is clean and light in the mouth and does a good job of keeping the palate refreshed.",Zuc di Volpe,88,38,,Volpe Pasini 2007 Zuc di Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini
Italy,"Here is a luscious and generous white wine from northeast Italy with a slightly more saturated color and golden highlights. The nose boasts aromas of white mineral, stone fruit, mature melon and yellow rose and the mouthfeel is thicker, creamier and more sophisticated than most Pinot Grigios.",Zuc di Volpe,88,35,,Volpe Pasini 2008 Zuc di Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini
Italy,"Sometimes, white wines pick up natural gas or chemical rubber aromas and this is definitely the case here. It's fair to say that some wines from the Friuli region of northern Italy naturally emit those characteristics as well as mature yellow fruit, ripe peach and melon like you will find here.",Zuc di Volpe,83,26,,Volpe Pasini 2005 Zuc di Volpe Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Volpe Pasini
Italy,"The Zuc di Volpe line boasts an exceedingly attractive expression of Pinot Bianco that is both aromatic and textured at the same time. The wine sees some oak aging that has helped shape aromas of almond, honey and fresh peach.",Zuc di Volpe,90,40,,Volpe Pasini 2007 Zuc di Volpe Pinot Bianco (Colli Orientali del Friuli),Pinot Bianco,Volpe Pasini
Italy,"Opening fragrances suggest lemon blossom and white tree fruit. The palate offers juicy apple, Bartlett pear and citrus alongside fresh acidity that gives a bright finish.",Zuc di Volpe,87,40,Kerin Oâ€™Keefe,Volpe Pasini 2012 Zuc di Volpe Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Volpe Pasini
Italy,"Solid, luscious and silky smooth, this white wine from the northern Friuli region is one of the most beautiful expressions of the Pinot Bianco grape you'll find. Stone fruit and nutty tones are rich and penetrating and backed by more fruit and white flowers. Half the wine sees four months of oak to shape its creamy consistency and heightened complexity.",Zuc di Volpe,92,28,,Volpe Pasini 2005 Zuc di Volpe Pinot Bianco (Colli Orientali del Friuli),Pinot Bianco,Volpe Pasini
Italy,"This is an attractive wine with fresh tones of stone fruit, almond and a slight touch of vanilla. The Friulano grape exhibits very good structure and texture, which makes it a natural pairing partner to a wide range of foods.",Zuc di Volpe,87,38,,Volpe Pasini 2007 Zuc di Volpe Friulano (Colli Orientali del Friuli),Friulano,Volpe Pasini
Italy,"A well-judged, well-structured wine that balances fresh, crisp and light fruit against flavors of peaches, almonds and cinnamon. It will be better in two or three years' time.",Zuc de Volpe,88,18,Roger Voss,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini
Italy,"The rare local Friulan grape Ribolla Gialla is planted only in 240 acres in the whole region. This typical example is soft, with a clean, light acidity, white currant flavors and a racy, crisp aftertaste.",Zuc de Volpe,86,18,Roger Voss,Volpe Pasini 2002 Zuc de Volpe Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Volpe Pasini
Italy,"A long oak regime (36 months in barrel) helps cement this Amarone's tones of barbecue sauce, cola, savory spice and dark fruit. The wine shows a ripe, chewy quality with loads of masculine power and intensity.",Zovo,88,47,,Zanoni 2006 Zovo  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",Zanoni
Italy,"On the bold and powerful side, this deals lush flavors of dark chocolate, chewy cherry, leather, tobacco and barbecue smoke. Packed with intensity and soft richness, it also delivers a fine point of fresh acidity on the finish.",Zovo,89,47,,Zanoni 2007 Zovo  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",Zanoni
Italy,"This Amarone shows the heat of the vintage. It has black fruit and spice notes but the palate is dominated by searing alcohol sensations. It lacks richness and fresh acidity, and closes on a bitter note.",Zovo,85,47,Kerin Oâ€™Keefe,Zanoni 2009 Zovo  (Amarone della Valpolicella),Red Blend,Zanoni
US,"This bottling named after vintner Bill Foley's mother shows apricot, gardenia and smoke aromas, accenting its underlying minerality that recalls hot sand on a beach. The clean and crisp flavors combine sea salt and lemon peel with Asian pear and a touch of honeydew melon.",Zoula Nunn,91,35,Matt Kettmann,Lincourt 2014 Zoula Nunn Chardonnay (Sta. Rita Hills),Chardonnay,Lincourt
US,"Named after Bill Foley's jingle-writing mother , this wine sings, starting with the starry shine in the glass. Aromas of light salmon brittle turn to apple blossoms, and then a sip reveals sea salt, lemon rind and poached apple, with a nutty macadamia paste note throughout.",Zoula Nunn,93,35,Matt Kettmann,Lincourt 2012 Zoula Nunn Chardonnay (Sta. Rita Hills),Chardonnay,Lincourt
US,The freshness of seared Meyer lemon and squeezed lime peel meets with the warmth of vanilla and pineapple in the nose of this solid bottling. The palate offers white peach and smoked apples laid across a very tense and pithy texture. It finishes on a Juicy Fruit bubblegum element that's intriguing and not overdone.,Zoula Nunn,90,35,Matt Kettmann,Lincourt 2013 Zoula Nunn Chardonnay (Sta. Rita Hills),Chardonnay,Lincourt
France,"A rich and medium sweet wine, full of spice, lychees and ripe fruits. There is a tangy texture, a strong sense of minerality as well as herb, yellow fruits and nutmeg flavors. It is still young and needs time. Drink from 2017.",Zotzenberg Grand Cru,91,,Roger Voss,Boeckel 2012 Zotzenberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Boeckel
France,"One of the rare vineyards which can produce Grand Cru Sylvaner, Zotzenberg's chalk soil gives a mineral while juicy and fresh wine. The lightest hint of spice gives the wine some weight, and the ripe, fruity apples and creamed pear are already delicious. Not for aging.",Zotzenberg Grand Cru,90,,Roger Voss,Boeckel 2012 Zotzenberg Grand Cru Sylvaner (Alsace),Sylvaner,Boeckel
France,"Shy but very pure notes of ripe juicy pear and fresh ripe mirabelle plum appear on the nose. They continue seamlessly on the full-bodied palate where they find a fitting counterpoint in its phenolic texture, which has a pleasantly bitter edge. This is bone dry but unusually full-bodied for a Sylvaner, highlighting the ripeness of the 2015 vintage. The finish is long and underlines the quiet power of this wine.",Zotzenberg Grand Cru,91,40,Anne KrebiehlÂ MW,Boeckel 2015 Zotzenberg Grand Cru Sylvaner (Alsace),Sylvaner,Boeckel
France,"On the sweet side, this is a rich, almost honeyed wine. It has deliciously ripe fruit, lychees and fragrant lemon. Full and generous, the wine still manages to keep some good freshness. It is young, so drink from 2017.",Zotzenberg Grand Cru,92,34,Roger Voss,Jean-Marc Bernhard 2011 Zotzenberg Grand Cru Gewurztraminer (Alsace),GewÃ_rztraminer,Jean-Marc Bernhard
France,"Mineral, closed and very tight, this is currently the epitome of young, potentially very fine Riesling. Citrus, pineapple and apricots are just hints among the steely, tense acidity and tangy structure. Drink from 2018.",Zotzenberg Grand Cru,93,,Roger Voss,Boeckel 2012 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
France,"Soft, gentle fruit of stewed apple shimmers on the nose but on the palate is contained by immense, lemony zestiness. There is real muscle and elegance. The body is dry, slender but concentrated and beautifully clean with inflections of stone. This is a beacon of clarity and clean fruit, shining with a pristine, citrus-kissed purity. Drink 2018â€“2030.",Zotzenberg Grand Cru,94,34,Anne KrebiehlÂ MW,Boeckel 2013 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
France,"This beautiful wine is already so balanced and ripe. Rich tropical and yellow fruits are lightly spiced and given a lift with the acidity. Along with that, it offers a more complex texture and mineral character. Drink from 2017.",Zotzenberg Grand Cru,93,42,Roger Voss,Boeckel 2013 Zotzenberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Boeckel
France,"The wine is rich, medium sweet and intensely aromatic and spicy. A spicily hot character derives from the pepper, bergamot and cardamom flavors. At the back are a firm structure and tropical fruits. Age this wine and don't drink before 2017.",Zotzenberg Grand Cru,91,,Roger Voss,Boeckel 2012 Zotzenberg Grand Cru Gewurztraminer (Alsace),GewÃ_rztraminer,Boeckel
France,"A lovely touch of orange zest teases the nose and there also is a lovely hint of chervil. The streamlined palate comes in with bundled citrus notes. The tart flesh of tangerine and the zest of lemon are softened and enriched with orange oil and ample concentration. This is pure and racy, linear and bold. There is something salty and energetic, something incredibly fresh and vibrant at the core. The palate and finish are absolutely dry, the echo is long and clean. Blastingly fresh right now, sure to evolve. Drink 2019â€“2037.",Zotzenberg Grand Cru,95,38,Anne KrebiehlÂ MW,Boeckel 2015 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
France,"Incredible purity rises from the glass, reminiscent of iced pear slices on a bed of the freshest chervil. The palate is filigree and savory, lithe, translucent but intense and shimmering with stone and earth, with pear and apple, with chervil and tangy peel. What light-footed, concentrated and yet elegant joy. This is resolutely dry and shows what Sylvaner does in the right hands.",Zotzenberg Grand Cru,93,34,Anne KrebiehlÂ MW,Boeckel 2013 Zotzenberg Grand Cru Sylvaner (Alsace),Sylvaner,Boeckel
France,"Subtle hints of tart apples appear first, then there is the merest touch of quince, even a touch of lemon balm. The palate pans out aromatically, always in that apple and quince spectrum, and has a brightening crisp edge of freshness and absolute concentration and dryness. With more air, the aromatic lemon balm note adds its special perfume to this wine. This is invigorating and enlivening.",Zotzenberg Grand Cru,93,38,Anne KrebiehlÂ MW,Boeckel 2014 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
France,This is from Alsace's only Grand Cru vineyard for the Sylvaner grape. The 2014 vintage is not as expressive as usual but still shows the inherent graceful and very fine-boned structure of this underrated variety. Pay attention to the lovely texture and beautiful slenderness.,Zotzenberg Grand Cru,90,40,Anne KrebiehlÂ MW,Boeckel 2014 Zotzenberg Grand Cru Sylvaner (Alsace),Sylvaner,Boeckel
France,"Lovely enticing freshness of freshly cut Conference pear jumps from the glass. On the palate, the pear fruit becomes fleshed out with more juiciness and ripeness and shines with its pristine purity. There is a lovely phenolic edge that gives guiding structure alongside lemon freshness. This is concentrated but not heavy, rounded but utterly refreshing. This strikes a great balance between freshness and generosity and has a dry lip-smacking finish.",Zotzenberg Grand Cru,93,40,Anne KrebiehlÂ MW,Boeckel 2015 Zotzenberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Boeckel
France,"Subtle hints of tart apples appear first, then there is the merest touch of quince, even a touch of lemon balm. The palate pans out aromatically, always in that apple and quince spectrum, and has a brightening crisp edge of freshness and absolute concentration and dryness. With more air, the aromatic lemon balm note adds its special perfume to this wine. This is invigorating and enlivening.",Zotzenberg Grand Cru,93,38,Anne KrebiehlÂ MW,Boeckel 2014 Zotzenberg Grand Cru Riesling (Alsace),Riesling,Boeckel
US,"Gavin Chanin's take on this vineyard shows lots of dark but never heavy spice on the nose, with bergamot, white sage and damp eucalyptus forest complementing the raspberry fruit. The palate clings to a line of graphite minerality, with cooked raspberry torte and loamy earth flavors leading into a black-tea finish.",Zotovich Vineyard,93,50,Matt Kettmann,Chanin 2013 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Chanin
US,"A successful exploration of how Chardonnay can be both sharp with green fruit yet full in body, this bottling offers just-cut kiwi, crisp Asian and Anjou pear, lemon wedges and underripe mandarin on the chalky nose. A strong simmering acidity and intriguing texturality present flavors of lemongrass and green-apple flesh, with tangy lime pith in the background. Drink now while fresh.",Zotovich Vineyard,93,34,Matt Kettmann,Transcendence 2015 Zotovich Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Transcendence
US,"The nose of this bottling from actress Challen Cates impresses with its spicy cherry, mulberry, juniper and mace notes. The palate is silky in texture and extremely well integrated, long-lasting and layered, with shiitake mushroom, forest floor, red cherry and earthy loam flavors.",Zotovich Vineyard,94,60,Matt Kettmann,Challen 2013 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Challen
US,"Lovely white-flower aromas of lily, tuberose and plumeria are elegant and engaging without being overpowering. These pair nicely with the light mango, crushed sea shell and petrol touch of the nose. Coconut, both dried flakes and milk, shows strongly on the creamy sip, along with honeysuckle, pineapple and fragrant white fruit.",Zotovich Vineyard,94,30,Matt Kettmann,Mollie 2014 Zotovich Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Mollie
US,"Squeezed lime, tangerine rind and juice and yellow-grapefruit zest show on the sharply citrusy nose of this bottling, which is expertly rounded out by white peach and chalk. Light stone-fruit flavors of nectarine and apple blossom show first on the palate, which is cut by lemon juice and green grapefruit, and warmed up with sea salt, toast and walnut-oil touches.",Zotovich Vineyard,92,48,Matt Kettmann,Tantara 2014 Zotovich Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Tantara
US,"Light and a bit cloudy in appearance, this wine begins with a nose of wet slate and raspberry. Next comes a flavor of cherry tomato sauce that's combined with stewed spices of clove, anise and dried orange peel. Layered, interesting and complex.",Zotovich Vineyard,93,70,Matt Kettmann,Tantara 2012 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Tantara
US,"Red apple aromas form the core with pear and yellow melon on the fringes of this stainless steel Chardonnay from Lompoc's Kenneth â€œJoeyâ€ù Gummere. The tart green apple and pear skin acidity is expected, but it retains a full bodyâ€”a prime example of a stainless Chard that's sleek but not overly austere.",Zotovich Vineyard,90,34,Matt Kettmann,Transcendence 2012 Zotovich Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Transcendence
US,"Slightly weak and primary aromas of freshly pressed black raspberry, grape seed and rosebuds show on the nose of this bottling. It's extremely light on the sip, though a compelling black-plum and hoisin-sauce flavor takes hold, with hints of lavender and bountiful acid, especially for its age.",Zotovich Vineyard,88,46,Matt Kettmann,Montemar Wines 2012 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Montemar Wines
US,"Actress Challen Cates got interested in wine when her father ran Tantara Winery. She's since hired winemaker Kevin Law to deliver great bottlings like this one. It's redolent with sarsaparilla, red plum, mulberry and cola, and shows deft balance on the palate, combining plum, cherry, licorice and ginger flavors.",Zotovich Vineyard,93,60,Matt Kettmann,Challen 2014 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Challen
US,"There's unique sharpness to the chaparral spice on the nose of this bottling, where black sage meshes into rooty flavors of beet and rhubarb as well as violets and black tea. That Earl Grey tea component pops on the earthy palate, where baked black plum and black raspberry are laid across a base of dried purple flowers and pine-laden forest floor.",Zotovich Vineyard,94,70,Matt Kettmann,Tantara 2014 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Tantara
US,"This Chardonnay has ripe, rich tangerine, pear and pineapple flavors. It wasn't aged in oak, and the malolactic fermentation was blocked. The result is a clean, vibrant and mouthwatering selection.",Zotovich Vineyard,90,34,,Transcendence 2011 Zotovich Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Transcendence
US,"Light, fresh and yet slightly rich on the nose, this bottling shows aromas of white flower, Asian pear and lemon-laced crÃ¨me brÃ»lÃ©e. There is strong grip to the sip, with tight lime peel and pith flavors as well as hints of white peach flesh and honeysuckle. Roasted nuts arise on the finish.",Zotovich,91,52,Matt Kettmann,Tantara 2015 Zotovich Chardonnay (Sta. Rita Hills),Chardonnay,Tantara
US,"The very intriguing nose of this bottling by a winery that explores all types of Pinot Noir sites and styles shows sarsaparilla, sandalwood, incense and fresh boysenberry aromas. The palate is all about freshness, with blackberry and black raspberry flavors lifted by anise, peppercorns and wild thyme. Great depth and verve throughout.",Zotovich,94,70,Matt Kettmann,Tantara 2015 Zotovich Pinot Noir (Sta. Rita Hills),Pinot Noir,Tantara
