ID,country,designation,points,price,province,taster_name,title,variety,winery
53,France,La Fleur d'AmÌ©lie,85,15,Bordeaux,Roger Voss,ChÌ¢teau de Sours 2011 La Fleur d'AmÌ©lie  (Bordeaux Blanc),Bordeaux-style White Blend,ChÌ¢teau de Sours
54,Italy,Rosso,85,,Sicily & Sardinia,,Corvo 2010 Rosso Red (Sicilia),Red Blend,Corvo
55,US,Estate Bottled,85,30,California,,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,RustRidge
56,US,,85,14,California,Virginie Boone,Souverain 2010 Chardonnay (North Coast),Chardonnay,Souverain
57,Italy,Sallier de la Tour,85,13,Sicily & Sardinia,,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Grillo,Tasca d'Almerita
58,Chile,Reserve,85,13,Maipo Valley,Michael Schachner,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios
59,US,,86,55,Washington,Sean P. Sullivan,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni
60,US,Estate,86,100,California,Virginie Boone,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi
61,Italy,Prugneto,86,17,Central Italy,Kerin O‰ÛªKeefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli
62,US,Alder Ridge Vineyard,86,25,Washington,Sean P. Sullivan,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram
63,France,Brut RosÌ©,86,58,Champagne,Roger Voss,Roland Champion NV Brut RosÌ©  (Champagne),Champagne Blend,Roland Champion
64,US,Golden Horn,86,26,California,Matt Kettmann,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap
65,France,,86,24,Burgundy,Roger Voss,Simonnet-Febvre 2015  Chablis,Chardonnay,Simonnet-Febvre
66,France,,86,15,Burgundy,Roger Voss,Vignerons des Terres SecrÌ¬tes 2015  MÌ¢con-Milly Lamartine,Chardonnay,Vignerons des Terres SecrÌ¬tes
67,US,Inspired,86,46,Washington,Sean P. Sullivan,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars
68,US,,86,12,California,Jim Gordon,Cocobon 2014 Red (California),Red Blend,Cocobon
69,France,Brut RosÌ©,86,55,Champagne,Roger Voss,Collet NV Brut RosÌ©  (Champagne),Champagne Blend,Collet
70,US,,86,12,Washington,Sean P. Sullivan,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller
71,US,Old Vine,86,40,California,Virginie Boone,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno
72,Italy,Daginestra,86,32,Southern Italy,Kerin O‰ÛªKeefe,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco
73,US,Bella Vetta Vineyard,86,75,California,Virginie Boone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight
74,US,Estate Grown,86,55,California,Virginie Boone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
75,US,The Cypher,86,75,California,Virginie Boone,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,,86,9,Rheinhessen,Anna Lee C. Iijima,Schmitt SÌ¦hne 2015 Riesling (Rheinhessen),Riesling,Schmitt SÌ¦hne
77,Australia,Made With Organic Grapes,86,18,South Australia,Joe Czerwinski,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba
78,US,RosÌ© of,86,25,Oregon,Paul Gregutt,Z'IVO 2015 RosÌ© of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO
79,Portugal,BridÌ£o,86,,Tejo,Roger Voss,Adega Cooperativa do Cartaxo 2014 BridÌ£o Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo
80,Chile,Special Release Reserva,86,12,Rapel Valley,Michael Schachner,Aresti 2014 Special Release Reserva CarmenÌ¬re (Rapel Valley),CarmenÌ¬re,Aresti
81,Spain,,86,16,Galicia,Michael Schachner,Spyro 2014 AlbariÌ±o (RÌ_as Baixas),AlbariÌ±o,Spyro
82,France,La RÌ©serve,86,11,France Other,Roger Voss,Lionel Osmin & Cie 2016 La RÌ©serve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie
83,Australia,Jester Sangiovese,86,20,South Australia,Joe Czerwinski,Mitolo 2016 Jester Sangiovese RosÌ© (McLaren Vale),RosÌ©,Mitolo
84,US,Classic,86,24,California,Virginie Boone,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars
85,Germany,Undone Dry,86,10,Rheinhessen,Anna Lee C. Iijima,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg
86,US,,86,20,Washington,Sean P. Sullivan,Palencia 2016 AlbariÌ±o (Ancient Lakes),AlbariÌ±o,Palencia
87,US,Blau Vineyards,86,55,California,Virginie Boone,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio
88,Italy,Le Mandorle Riserva,86,29,Tuscany,Kerin O‰ÛªKeefe,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro
89,Italy,,88,19,Tuscany,Kerin O‰ÛªKeefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
90,US,Siena,88,23,California,Virginie Boone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
91,US,,88,18,California,Virginie Boone,Folie ÌÊ Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie ÌÊ Deux
92,US,Magnificat,88,55,California,Virginie Boone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
93,Austria,,88,12,Burgenland,Anne KrebiehlåÊMW,Fuchs 2015 GrÌ_ner Veltliner (Burgenland),GrÌ_ner Veltliner,Fuchs
94,US,Grand Klasse Reserve Lawrence Vineyards,88,22,Washington,Sean P. Sullivan,GÌ´rd 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,GÌ´rd
95,France,,88,20,Beaujolais,Roger Voss,Henry Fessy 2015  JuliÌ©nas,Gamay,Henry Fessy
96,France,,88,18,Beaujolais,Roger Voss,Henry Fessy 2015  RÌ©gniÌ©,Gamay,Henry Fessy
97,US,Ingle Vineyard,88,20,New York,Anna Lee C. Iijima,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
98,Italy,Dono Riserva,88,30,Tuscany,Kerin O‰ÛªKeefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi
99,US,Intreccio Library Selection,88,75,California,Virginie Boone,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
100,US,,88,18,New York,Anna Lee C. Iijima,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa
101,US,Red Oak Vineyard,87,20,New York,Anna Lee C. Iijima,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
102,US,Yellow Dog Vineyard,87,20,New York,Anna Lee C. Iijima,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
103,Chile,Single Vineyard Falaris Hill,87,18,Leyda Valley,Michael Schachner,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda
104,Italy,Nativo,87,16,Tuscany,Kerin O‰ÛªKeefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta
105,Italy,Villa Antinori,87,14,Tuscany,Kerin O‰ÛªKeefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori
106,Italy,Castiglioni,87,30,Tuscany,Kerin O‰ÛªKeefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi
107,Italy,Ammiraglia Massovivo,87,18,Tuscany,Kerin O‰ÛªKeefe,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi
108,US,J.D. Hurley,87,26,California,Matt Kettmann,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch
109,Italy,Le Volte,87,30,Tuscany,Kerin O‰ÛªKeefe,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia
110,France,Les Quartelets,87,23,Beaujolais,Roger Voss,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils
111,US,Wolff Vineyard,87,85,California,Virginie Boone,PiÌ±a 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,PiÌ±a
112,Italy,Semifonte,87,15,Tuscany,Kerin O‰ÛªKeefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona
113,Italy,Poetico,87,19,Tuscany,Kerin O‰ÛªKeefe,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso
114,US,BDX,87,18,California,Matt Kettmann,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull
115,US,,87,18,California,Matt Kettmann,Pull 2013 Chardonnay (Paso Robles),Chardonnay,Pull
116,US,Camp 4 Vineyard,87,25,California,Matt Kettmann,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2
117,US,Estate,87,44,California,Matt Kettmann,Rideau 2014 Estate Syrah,Syrah,Rideau
118,Italy,Toscano,87,80,Tuscany,Kerin O‰ÛªKeefe,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi
119,France,Schoenenbourg Grand Cru Vendanges Tardives,92,80,Alsace,,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,Dopff & Irion
120,Italy,Bricco Rocche PrapÌ_,92,70,Piedmont,,Ceretto 2003 Bricco Rocche PrapÌ_  (Barolo),Nebbiolo,Ceretto
121,US,Stuhlmuller Vineyard,92,36,California,,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,Matrix
122,US,Rockpile Cemetary Vineyard,92,39,California,,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,Mauritson
123,Australia,Parson's Flat,92,40,South Australia,Joe Czerwinski,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
124,US,,92,45,California,,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado
125,South Africa,Cabernet Sauvignon Reserve,91,45,Stellenbosch,Roger Voss,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche
126,France,Vendages Tardives,91,48,Alsace,,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),GewÌ_rztraminer,Pierre Sparr
127,France,Alsace One,91,13,Alsace,,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,Pierre Sparr
128,France,,91,17,Alsace,,Kuentz-Bas 2008 Pinot Blanc (Alsace),Pinot Blanc,Kuentz-Bas
129,South Africa,Philosophers' Stone,91,25,Stellenbosch,,Camberley 2004 Philosophers' Stone Red (Stellenbosch),Bordeaux-style Red Blend,Camberley
130,Italy,Bricco Rocche Brunate,91,70,Piedmont,,Ceretto 2003 Bricco Rocche Brunate  (Barolo),Nebbiolo,Ceretto
131,France,Gentil,91,20,Alsace,,Dopff & Irion 2008 Gentil White (Alsace),Alsace white blend,Dopff & Irion
132,South Africa,Grand Reserve,91,30,Simonsberg-Stellenbosch,Roger Voss,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim
133,Italy,,91,68,Piedmont,,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi
134,US,,91,78,California,,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden
135,Italy,Sorano,91,60,Piedmont,,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri
136,France,,91,50,Bordeaux,Joe Czerwinski,LassÌ¬gue 2003  Saint-Ìämilion,Bordeaux-style Red Blend,LassÌ¬gue
137,South Africa,Hope Marguerite,90,,Walker Bay,Roger Voss,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont
138,France,CrustacÌ©s,90,10,Alsace,,Dopff & Irion 2008 CrustacÌ©s White (Alsace),Alsace white blend,Dopff & Irion
139,France,CuvÌ©e JerÌ©my SÌ©lection de Grains Nobles,90,112,Alsace,,Kuentz-Bas 2007 CuvÌ©e JerÌ©my SÌ©lection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas
140,Italy,Costa Bruna,90,26,Piedmont,,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla
141,Italy,Vigna dei Pola,90,45,Piedmont,,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Nebbiolo,Giacomo Ascheri
142,US,,90,17,California,,Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,Banyan
143,France,Hunawihr Clos Windsbuhl,90,84,Alsace,,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
144,US,K Block,91,85,California,Virginie Boone,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
145,US,Guidotti Vineyard,91,64,California,Matt Kettmann,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
146,US,Family Reserve,91,68,California,Matt Kettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
147,US,Family Reserve,91,68,California,Matt Kettmann,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
148,Germany,Dry,91,16,Rheinhessen,Anna Lee C. Iijima,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift
149,US,Destruction Level,91,35,California,Matt Kettmann,Wrath 2013 Destruction Level Red (Monterey),RhÌ«ne-style Red Blend,Wrath
150,US,Ruth's Reach,91,25,California,Virginie Boone,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick
151,Portugal,GeraÌ¤Ìµes Colheita Seleccionada Branco,91,30,Alentejano,Roger Voss,Herdade Grande 2014 GeraÌ¤Ìµes Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande
152,US,Estate Reserve,91,55,California,Matt Kettmann,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge
153,US,Old 900,91,46,California,Matt Kettmann,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina
154,Spain,Single Vineyard Estate Bottled,91,50,Central Spain,Michael Schachner,Marques de GriÌ±on 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,Marques de GriÌ±on
155,US,,91,36,California,Matt Kettmann,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin
156,Germany,Graacher Himmelreich SpÌ_tlese,91,14,Mosel,Anna Lee C. Iijima,Carl Graff 2014 Graacher Himmelreich SpÌ_tlese Riesling (Mosel),Riesling,Carl Graff
157,Portugal,Grande Reserva Tinto,91,26,Alentejano,Roger Voss,Casa Santa VitÌ_ria 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa VitÌ_ria
158,Italy,Bellezza Gran Selezione,91,38,Tuscany,Kerin O‰ÛªKeefe,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano
159,Italy,Filo di Seta,91,,Tuscany,Kerin O‰ÛªKeefe,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Castello Romitorio
160,France,,91,35,Southwest France,Roger Voss,ChÌ¢teau Vincens 2012 Malbec (Cahors),Malbec,ChÌ¢teau Vincens
161,US,Mr. Nibbles,91,35,California,Matt Kettmann,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars
162,US,Claiborne Vineyard,91,28,California,Matt Kettmann,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,Claiborne & Churchill
163,France,Hospices Civils de RomanÌ¬che Thurins,91,,Beaujolais,Roger Voss,Collin-Bourisset 2011 Hospices Civils de RomanÌ¬che Thurins  (Moulin-ÌÊ-Vent),Gamay,Collin-Bourisset
164,Chile,Condesa Real Premium Blend,91,29,Aconcagua Valley,Michael Schachner,Conde de VelÌÁzquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de VelÌÁzquez
165,Chile,20 Barrels,91,32,Maipo Valley,Michael Schachner,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
166,France,Charles de Batz,91,25,Southwest France,Roger Voss,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,Domaine Berthoumieu
167,US,,91,28,California,Matt Kettmann,Dracaena 2013 Cabernet Franc (Paso Robles),Cabernet Franc,Dracaena
168,US,Rector Creek Vineyard,91,95,California,Virginie Boone,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn
169,US,Dutton Ranch,91,44,California,Virginie Boone,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
170,Germany,Brauneberger Feinherb,91,30,Mosel,Anna Lee C. Iijima,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag
171,Germany,,91,22,Mosel,Anna Lee C. Iijima,Fritz Haag 2014 Riesling (Mosel),Riesling,Fritz Haag
172,Chile,The 7th Generation Gran Reserva Estate Bottled,91,20,Loncomilla Valley,Michael Schachner,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7
173,US,,91,38,Oregon,Paul Gregutt,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau
174,New Zealand,,88,19,Marlborough,Joe Czerwinski,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh
175,Italy,De Silva,88,25,Northeastern Italy,,Tenuta Peter SÌ¦lva & SÌ¦hne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,Tenuta Peter SÌ¦lva & SÌ¦hne
176,Chile,Unusual Cabernet-Shiraz-Zinfandel,88,50,Maipo Valley,Michael Schachner,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater
177,Italy,,88,22,Tuscany,,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena
178,US,Jack London Vineyard,88,25,California,,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood
